Sender,Receiver,Timestamp,Discussion Title,Discussion Category,Parent Category,Category Text,Discussion Identifier,Comment ID,Discussion ID
360,444,4/4/13 16:32,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,2,2
356,444,4/4/13 18:45,Most important change for your school or district?,Group D-L,Units 1-3 Discussion Groups,,Most important change for your school or district?Group D-LUnits 1-3 Discussion Groups,3,1
356,444,4/4/13 18:47,DLT Resources—Comments and Suggestions,Group D-L,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup D-LUnits 1-3 Discussion Groups,4,3
344,444,4/4/13 18:55,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,5,4
392,444,4/4/13 19:13,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,6,5
219,444,4/4/13 19:16,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,7,6
318,444,4/4/13 19:26,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,8,6
4,444,4/4/13 19:44,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,9,2
355,356,4/4/13 20:12,DLT Resources—Comments and Suggestions,Group D-L,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup D-LUnits 1-3 Discussion Groups,10,3
355,444,4/4/13 20:13,Most important change for your school or district?,Group D-L,Units 1-3 Discussion Groups,,Most important change for your school or district?Group D-LUnits 1-3 Discussion Groups,11,1
4,444,4/4/13 20:14,DLT Resources—Comments and Suggestions,Group N,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup NUnits 1-3 Discussion Groups,12,7
310,444,4/4/13 20:34,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,13,8
248,444,4/4/13 20:42,Most important change for your school or district?,Group D-L,Units 1-3 Discussion Groups,,Most important change for your school or district?Group D-LUnits 1-3 Discussion Groups,14,1
150,444,4/4/13 21:42,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,15,4
19,310,4/4/13 23:13,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,16,9
216,19,4/4/13 23:21,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,17,10
19,444,4/4/13 23:31,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,18,6
19,4,4/4/13 23:35,DLT Resources—Comments and Suggestions,Group N,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup NUnits 1-3 Discussion Groups,19,7
217,310,4/5/13 0:22,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,20,9
385,444,4/5/13 0:33,Most important change for your school or district?,Group O-T,Units 1-3 Discussion Groups,,Most important change for your school or district?Group O-TUnits 1-3 Discussion Groups,21,4
217,444,4/5/13 0:58,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,22,8
393,444,4/5/13 1:00,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,23,5
217,19,4/5/13 1:11,Few predicted the current state of affairs for education 5 years ago,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Few predicted the current state of affairs for education 5 years agoUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,24,11
256,219,4/5/13 1:35,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,25,6
253,444,4/5/13 1:55,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,26,6
301,444,4/5/13 2:31,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,27,5
301,444,4/5/13 3:11,DLT Resources—Comments and Suggestions,Group U-Z,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup U-ZUnits 1-3 Discussion Groups,28,12
143,444,4/5/13 11:56,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,29,2
218,19,4/5/13 13:26,Few predicted the current state of affairs for education 5 years ago,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Few predicted the current state of affairs for education 5 years agoUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,30,11
361,217,4/5/13 13:29,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,31,9
30,444,4/5/13 13:38,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,32,2
30,444,4/5/13 13:42,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,33,8
335,444,4/5/13 14:43,DLT Resources—Comments and Suggestions,Group U-Z,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup U-ZUnits 1-3 Discussion Groups,34,12
166,444,4/5/13 15:18,DLT Resources—Comments and Suggestions,Group O-T,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup O-TUnits 1-3 Discussion Groups,35,13
156,219,4/5/13 15:30,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,36,6
173,444,4/5/13 16:29,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,37,14
223,444,4/5/13 16:49,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,38,14
219,19,4/5/13 17:21,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,39,6
219,253,4/5/13 17:34,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,40,6
261,444,4/5/13 18:20,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,41,2
365,444,4/5/13 18:44,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,42,2
220,19,4/5/13 18:50,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,43,10
183,219,4/5/13 19:01,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,44,6
19,216,4/5/13 19:38,Digital natives?,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Digital natives?Unit 1 Expert PanelUnit 1-3 Expert Panel Discussions,45,10
260,261,4/5/13 19:49,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,46,2
19,217,4/5/13 19:50,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,47,8
19,223,4/5/13 20:00,Student Motivation,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Student MotivationUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,48,15
19,219,4/5/13 20:06,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,49,6
394,444,4/5/13 20:53,Most important change for your school or district?,Group U-Z,Units 1-3 Discussion Groups,,Most important change for your school or district?Group U-ZUnits 1-3 Discussion Groups,50,5
331,444,4/5/13 21:26,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,51,14
304,444,4/5/13 21:26,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,52,2
331,217,4/5/13 21:37,How important is teacher training in a digital learning transition phase?,Group A-C,Units 1-3 Discussion Groups,,How important is teacher training in a digital learning transition phase?Group A-CUnits 1-3 Discussion Groups,53,9
342,444,4/5/13 22:19,Most important change for your school or district?,Group A-C,Units 1-3 Discussion Groups,,Most important change for your school or district?Group A-CUnits 1-3 Discussion Groups,54,14
398,444,4/5/13 22:44,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,55,6
279,444,4/5/13 22:52,Most important change for your school or district?,Group N,Units 1-3 Discussion Groups,,Most important change for your school or district?Group NUnits 1-3 Discussion Groups,56,2
279,310,4/5/13 22:59,Submitting Questions for the Expert Panel,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Submitting Questions for the Expert PanelUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,57,8
331,444,4/5/13 23:02,DLT Resources—Comments and Suggestions,Group A-C,Units 1-3 Discussion Groups,,DLT Resources—Comments and SuggestionsGroup A-CUnits 1-3 Discussion Groups,58,16
132,219,4/5/13 23:30,Most important change for your school or district?,Group M,Units 1-3 Discussion Groups,,Most important change for your school or district?Group MUnits 1-3 Discussion Groups,59,6
132,223,4/5/13 23:44,Student Motivation,Unit 1 Expert Panel,Unit 1-3 Expert Panel Discussions,,Student MotivationUnit 1 Expert PanelUnit 1-3 Expert Panel Discussions,60,15
