Sender,Reciever,Timestamp,Title,Category,Parent,Description,CommentID,DiscussionID
37,461,9/27/13,Greetings from North Carolina!,Introductions,Group M-N,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",3,1
434,434,9/27/13,Sherry Hahn,Introductions,Group A-L,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",4,2
302,434,9/27/13,Sherry Hahn,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",5,3
60,434,9/27/13,Sherry Hahn,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",7,3
128,434,9/29/13,Sherry Hahn,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",38,3
158,434,9/30/13,Sherry Hahn,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",75,3
442,434,10/1/13,Sherry Hahn,Introductions,Group O-Z,"Please introduce yourself by sharing your location, role, background and interests related to digital learning.",193,3
43,245,9/27/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,6,4
426,245,9/30/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,146,4
142,245,10/1/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,201,4
41,245,10/4/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,450,4
155,245,10/4/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,471,4
292,245,10/4/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,474,4
110,245,10/7/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,616,4
130,245,10/7/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,689,4
149,245,10/8/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,736,4
155,245,10/15/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1025,4
157,110,10/16/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1036,4
157,245,10/16/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1036,4
153,245,10/16/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1039,4
158,245,10/18/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1093,4
14,157,10/18/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1110,4
361,245,10/19/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1124,4
246,245,10/21/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1192,4
133,245,11/7/13,Planning is key,"Changes in what, how, when and where students learn?",Group A-L,What would you recommend in your own school or district?,1939,4
176,43,9/27/13,Teacher and parent attitudes,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,8,5
362,43,9/30/13,Teacher and parent attitudes,Most important changes needed in K-12 education?,Group A-L,Please brainstorm about how K-12 education needs to change to fully incorporate digital learning and what will then be different for students and for teachers.,107,5
