form ,to
49,9
49,10
49,16
49,27
49,22
49,49
49,33
49,1
49,34
19,23
19,8
19,46
19,27
19,40
19,6
19,42
19,25
19,14
46,18
46,8
46,47
46,27
46,40
46,23
46,42
46,25
46,14
17,12
17,49
17,37
17,44
17,7
17,17
17,2
17,1
17,14
22,3
22,5
22,18
22,39
22,16
22,12
22,43
22,1
22,7
45,11
45,47
45,18
45,38
45,16
45,44
45,32
45,1
45,14
10,19
10,4
10,46
10,27
10,16
10,23
10,42
10,6
10,30
41,15
41,19
41,46
41,21
41,9
41,48
41,47
41,5
41,30
12,48
12,41
12,46
12,21
12,9
12,22
12,43
12,5
12,17
32,35
32,27
32,23
32,45
32,16
32,42
32,28
32,1
32,14
30,48
30,41
30,47
30,21
30,29
30,24
30,28
30,35
30,10
27,15
27,4
27,9
27,21
27,13
27,32
27,28
27,5
27,7
35,11
35,38
35,18
35,45
35,16
35,10
35,31
35,5
35,14
9,12
9,4
9,18
9,27
9,16
9,10
9,32
9,13
9,36
38,12
38,11
38,18
38,45
38,29
38,11
38,2
38,5
38,26
31,3
31,11
31,18
31,45
31,9
31,8
31,20
31,1
31,37
3,17
3,4
3,18
3,45
3,29
3,43
3,28
3,1
3,10
5,38
5,41
5,47
5,44
5,16
5,1
5,29
5,35
5,36
15,12
15,41
15,8
15,44
15,9
15,24
15,47
15,5
15,30
37,48
37,12
37,39
37,21
37,9
37,15
37,47
37,5
37,37
7,39
7,27
7,18
7,45
7,16
7,41
7,26
7,1
7,17
18,13
18,12
18,15
18,45
18,9
18,17
18,43
18,1
18,37
13,22
13,4
13,18
13,27
13,39
13,6
13,43
13,1
13,14
39,19
39,8
39,24
39,44
39,29
39,22
39,43
39,13
39,14
29,3
29,5
29,47
29,44
29,39
29,30
29,28
29,1
29,36
28,15
28,41
28,16
28,27
28,29
28,32
28,1
28,30
2,3
2,11
2,18
2,38
2,9
2,37
2,31
2,1
2,36
6,48
6,49
6,46
6,19
6,34
6,39
6,43
6,13
6,14
21,48
21,4
21,46
21,27
21,16
21,47
21,24
21,25
21,30
43,13
43,12
43,18
43,27
43,39
43,48
43,28
43,1
43,34
24,15
24,19
24,23
24,21
24,16
24,42
24,8
24,14
24,30
47,15
47,41
47,8
47,21
47,45
47,24
47,28
47,6
47,30
36,17
36,11
36,18
36,44
36,9
36,31
36,29
36,5
36,14
11,35
11,4
11,18
11,45
11,9
11,31
11,32
11,1
11,14
48,24
48,41
48,46
48,21
48,16
48,43
48,47
48,6
48,7
23,19
23,8
23,46
23,27
23,10
23,14
23,42
23,40
23,14
42,18
42,8
42,46
42,27
42,10
42,14
42,20
42,40
42,25
14,19
14,8
14,46
14,45
14,16
14,23
14,42
14,1
14,17
8,19
8,41
8,46
8,27
8,9
8,23
8,42
8,40
8,14
1,17
1,49
1,18
1,45
1,34
1,11
1,32
1,35
1,14
