UID,Facilitator,role1,experience,experience2,grades,location,region,country,group,gender,expert,connect
1,0,libmedia,1,6 to 10,secondary, VA,South,US,UZ,female,0,1
2,0,classteaching,1,6 to 10,secondary, FL,South,US,DL,female,0,0
3,0,districtadmin,2,11 to 20,generalist, PA,Northeast,US,OT,female,0,1
4,0,classteaching,2,11 to 20,middle, NC,South,US,N,female,0,0
5,0,otheredprof,3,20+,generalist, AL,South,US,AC,female,0,0
6,0,classteaching,1,4 to 5,generalist, AL,South,US,AC,female,0,1
7,0,instructionaltech,2,11 to 20,generalist, SD,Midwest,US,OT,female,0,0
8,0,specialed,1,6 to 10,secondary,BE,International,BE,AC,female,0,0
9,0,classteaching,1,6 to 10,middle, NC,South,US,N,female,0,0
10,0,schooladmin,2,11 to 20,middle, NC,South,US,N,male,0,0
11,0,other,3,20+,generalist,KG,International,KG,DL,female,0,1
12,0,classteaching,3,20+,secondary, AL,South,US,AC,female,0,0
13,0,classteaching,2,11 to 20,middle, CA,West,US,AC,female,0,0
14,0,other,1,0 to 3,middle, NC,South,US,N,female,0,0
15,0,schooladmin,3,20+,secondary, WV,South,US,UZ,female,0,0
16,0,otheredprof,1,0 to 3,middle,ES,International,ES,DL,male,0,0
17,0,libmedia,1,0 to 3,primary, NC,South,US,N,female,0,0
18,0,specialed,1,4 to 5,middle, FL,South,US,DL,female,0,0
19,0,otheredprof,3,20+,college,AU,International,AU,AC,male,0,1
20,0,districtadmin,1,0 to 3,generalist, MI,Midwest,US,M,male,0,0
21,0,otheredprof,1,0 to 3,generalist, NC,South,US,N,female,0,0
22,0,schooladmin,1,6 to 10,secondary, FL,South,US,DL,male,0,0
23,0,libmedia,3,20+,middle, NC,South,US,N,female,0,0
24,0,instructionaltech,2,11 to 20,generalist, IN,Midwest,US,DL,female,0,1
25,0,instructionaltech,2,11 to 20,generalist, IL,Midwest,US,DL,female,0,0
26,0,otheredprof,3,20+,primary, TX,South,US,OT,female,0,0
27,0,otheredprof,1,0 to 3,generalist, IA,Midwest,US,DL,female,0,0
28,0,profdev,3,20+,middle, ME,Northeast,US,M,female,1,0
29,0,schooladmin,2,11 to 20,generalist, AL,South,US,AC,female,0,0
30,0,schooladmin,3,20+,secondary, NC,South,US,N,female,0,1
31,0,classteaching,1,4 to 5,generalist, CA,West,US,AC,male,0,1
32,0,profdev,1,6 to 10,primary, CA,West,US,AC,female,0,0
33,0,instructionaltech,3,20+,generalist, CA,West,US,AC,male,0,0
34,0,curriculum,3,20+,primary, AL,South,US,AC,female,0,0
35,0,curriculum,2,11 to 20,college, SD,Midwest,US,OT,male,0,0
36,0,classteaching,2,11 to 20,secondary, UT,West,US,UZ,female,0,1
37,0,curriculum,2,11 to 20,secondary, CA,West,US,AC,male,0,0
38,0,classteaching,1,6 to 10,secondary, ME,Northeast,US,M,male,0,1
39,0,classteaching,2,11 to 20,secondary, NC,South,US,N,female,0,1
40,0,districtadmin,3,20+,generalist, AZ,West,US,AC,female,0,0
41,0,instructionaltech,1,6 to 10,generalist,PA,Northeast,US,OT,male,1,1
42,0,curriculum,3,20+,generalist,PA,Northeast,US,OT,male,1,0
43,0,profdev,3,20+,secondary, MA,Northeast,US,M,female,1,1
44,0,instructionaltech,2,11 to 20,middle, NC,South,US,N,male,0,1
45,0,districtadmin,2,11 to 20,generalist, NM,West,US,N,female,0,0
46,0,classteaching,2,11 to 20,primary, NH,Northeast,US,N,female,0,0
47,0,profdev,3,20+,generalist,MA,Northeast,US,M,female,1,0
48,0,schooladmin,3,20+,middle, KS,Midwest,US,DL,male,1,0
49,0,libmedia,3,20+,generalist, ME,Northeast,US,M,female,0,0
50,0,schooladmin,3,20+,primary, VA,South,US,UZ,female,0,0
51,0,schooladmin,3,20+,primary, VA,South,US,UZ,male,0,0
52,0,schooladmin,3,20+,primary, NH,Northeast,US,N,male,0,0
53,0,instructionaltech,3,20+,primary, MA,Northeast,US,M,female,0,0
54,0,otheredprof,2,11 to 20,primary, VT,Northeast,US,UZ,female,0,0
55,0,instructionaltech,1,4 to 5,generalist, NC,South,US,N,female,0,0
56,0,districtadmin,3,20+,generalist, PA,Northeast,US,OT,female,1,1
57,0,curriculum,3,20+,generalist, KS,Midwest,US,DL,female,0,0
58,0,instructionaltech,2,11 to 20,generalist,NG,International,NG,N,female,0,0
59,0,libmedia,1,0 to 3,primary, PA,Northeast,US,OT,female,0,0
60,0,classteaching,2,11 to 20,middle, NC,South,US,N,female,0,0
61,0,schooladmin,3,20+,primary, NC,South,US,N,female,0,0
62,0,classteaching,1,0 to 3,generalist, NJ,Northeast,US,N,female,0,0
63,0,specialed,1,6 to 10,secondary, WV,South,US,UZ,female,0,0
64,0,instructionaltech,2,11 to 20,generalist, NH,Northeast,US,N,female,0,0
65,0,libmedia,2,11 to 20,secondary, NH,Northeast,US,N,female,0,0
66,0,instructionaltech,2,11 to 20,secondary, NC,South,US,N,female,0,0
67,0,libmedia,3,20+,primary, NC,South,US,N,female,0,0
68,0,libmedia,3,20+,generalist,ISL,International,IL,DL,female,0,1
69,0,profdev,3,20+,generalist, NJ,Northeast,US,N,female,0,0
70,0,schooladmin,1,6 to 10,middle, NC,South,US,N,female,0,0
71,0,districtadmin,3,20+,generalist, WA,West,US,UZ,female,0,0
72,0,instructionaltech,2,11 to 20,primary, VA,South,US,UZ,female,0,0
73,0,districtadmin,3,20+,primary, SC,South,US,OT,female,0,0
74,0,schooladmin,3,20+,generalist, VT,Northeast,US,UZ,female,0,0
75,0,classteaching,3,20+,secondary, VT,Northeast,US,UZ,female,0,0
76,0,curriculum,3,20+,generalist, KS,Midwest,US,DL,female,0,0
77,0,profdev,2,11 to 20,generalist, VA,South,US,UZ,female,0,1
78,0,schooladmin,3,20+,secondary,TH,International,TH,OT,female,0,1
79,0,profdev,1,4 to 5,generalist, MN,Midwest,US,M,female,0,0
80,0,classteaching,2,11 to 20,middle, VA,South,US,UZ,female,0,1
81,0,classteaching,3,20+,primary, WA,West,US,UZ,female,0,0
82,0,classteaching,1,6 to 10,middle, VA,South,US,UZ,female,0,0
83,0,classteaching,3,20+,primary, ME,Northeast,US,M,female,0,0
84,0,curriculum,1,6 to 10,generalist, PA,Northeast,US,OT,female,0,0
85,0,classteaching,1,6 to 10,generalist, NC,South,US,N,female,0,0
86,0,schooladmin,3,20+,middle, NH,Northeast,US,N,male,0,0
87,0,libmedia,2,11 to 20,generalist, NH,Northeast,US,N,female,0,0
88,0,classteaching,1,0 to 3,secondary, MO,Midwest,US,M,male,0,0
89,0,profdev,3,20+,generalist, MI,Midwest,US,M,female,0,0
90,0,otheredprof,3,20+,generalist, MI,Midwest,US,M,female,0,0
91,0,instructionaltech,2,11 to 20,secondary, MN,Midwest,US,M,male,0,0
92,0,curriculum,3,20+,primary, KS,Midwest,US,DL,male,0,0
93,0,classteaching,1,6 to 10,secondary, AL,South,US,AC,male,0,0
94,0,classteaching,1,6 to 10,middle, CA,West,US,AC,male,0,0
95,0,instructionaltech,1,6 to 10,secondary, CT,Northeast,US,AC,female,0,0
96,0,instructionaltech,2,11 to 20,secondary, NC,South,US,N,female,0,0
97,0,libmedia,1,6 to 10,primary, AL,South,US,AC,female,0,0
98,0,classteaching,2,11 to 20,primary, NC,South,US,N,female,0,0
99,0,instructionaltech,3,20+,generalist, CA,West,US,AC,male,0,1
100,0,instructionaltech,2,11 to 20,generalist, NC,South,US,N,male,0,0
101,0,instructionaltech,1,4 to 5,primary, NC,South,US,N,female,0,0
102,0,classteaching,3,20+,generalist, RI,Northeast,US,OT,female,0,0
103,0,classteaching,2,11 to 20,middle, RI,Northeast,US,OT,male,0,0
104,0,classteaching,3,20+,middle, ME,Northeast,US,M,female,0,0
105,0,techinfrastructure,2,11 to 20,primary, NC,South,US,N,male,0,0
106,0,districtadmin,3,20+,generalist, NC,South,US,N,male,0,0
107,0,instructionaltech,2,11 to 20,generalist, NC,South,US,N,female,0,0
108,0,classteaching,1,4 to 5,secondary, RI,Northeast,US,OT,female,0,1
109,0,instructionaltech,3,20+,primary, TX,South,US,OT,female,0,0
110,0,instructionaltech,1,4 to 5,middle, NC,South,US,N,male,0,0
111,0,districtadmin,2,11 to 20,generalist, SC,South,US,OT,female,0,0
112,0,districtadmin,2,11 to 20,generalist, WI,Midwest,US,UZ,male,0,0
113,0,schooladmin,2,11 to 20,secondary, CA,West,US,AC,female,0,0
114,0,profdev,2,11 to 20,secondary,ZA,International,ZA,UZ,male,0,1
115,0,schooladmin,2,11 to 20,middle, PA,Northeast,US,OT,female,0,0
116,0,classteaching,3,20+,college, SD,Midwest,US,OT,female,0,0
117,0,curriculum,1,6 to 10,generalist, SC,South,US,OT,female,0,0
118,0,classteaching,1,6 to 10,college,ZA,International,ZA,UZ,male,0,0
119,0,libmedia,2,11 to 20,middle, TX,South,US,OT,female,0,0
120,0,instructionaltech,3,20+,generalist, OH,Midwest,US,OT,female,0,0
121,0,instructionaltech,2,11 to 20,generalist, VA,South,US,UZ,male,0,0
122,0,otheredprof,3,20+,generalist, AL,South,US,AC,female,0,1
123,0,curriculum,2,11 to 20,generalist, TX,South,US,OT,female,0,0
124,0,instructionaltech,2,11 to 20,generalist, SC,South,US,OT,male,0,0
125,0,instructionaltech,3,20+,generalist, PA,Northeast,US,OT,female,0,0
126,0,techinfrastructure,2,11 to 20,generalist, PA,Northeast,US,OT,male,0,1
127,0,techinfrastructure,2,11 to 20,generalist, AL,South,US,AC,male,0,0
128,0,curriculum,1,6 to 10,college,RU,International,RU,OT,female,0,0
129,0,instructionaltech,2,11 to 20,primary, OH,Midwest,US,OT,female,0,0
130,0,otheredprof,3,20+,generalist, RI,Northeast,US,OT,female,0,1
131,0,profdev,2,11 to 20,generalist, NC,South,US,N,female,0,0
132,0,instructionaltech,1,6 to 10,generalist, MI,Midwest,US,M,female,0,1
133,0,techinfrastructure,3,20+,secondary, NC,South,US,N,male,0,1
134,0,classteaching,1,6 to 10,secondary, NC,South,US,N,male,0,0
135,0,otheredprof,1,0 to 3,generalist, TX,South,US,OT,female,0,0
136,0,districtadmin,3,20+,generalist, RI,Northeast,US,OT,male,0,0
137,0,districtadmin,3,20+,generalist, OR,West,US,OT,male,0,0
138,0,profdev,2,11 to 20,generalist, VT,Northeast,US,UZ,female,0,0
139,0,instructionaltech,2,11 to 20,generalist, VA,South,US,UZ,female,0,0
140,0,otheredprof,3,20+,generalist,GB,International,GB,DL,female,0,0
141,0,instructionaltech,3,20+,secondary, WA,West,US,UZ,female,0,0
142,0,profdev,2,11 to 20,generalist, AL,South,US,AC,female,0,0
143,0,instructionaltech,2,11 to 20,generalist, NJ,Northeast,US,N,female,0,1
144,0,districtadmin,2,11 to 20,generalist, VA,South,US,UZ,male,0,0
145,0,classteaching,1,6 to 10,middle, OH,Midwest,US,OT,female,0,0
146,0,otheredprof,1,6 to 10,secondary, CA,West,US,AC,female,0,0
147,0,classteaching,2,11 to 20,secondary, ME,Northeast,US,M,female,0,0
148,0,districtadmin,2,20+,generalist,TX,South,US,OT,female,1,1
149,0,instructionaltech,1,6 to 10,generalist, OH,Midwest,US,OT,male,0,1
150,0,profdev,1,6 to 10,generalist, TX,South,US,OT,male,0,0
151,0,techinfrastructure,2,11 to 20,generalist, RI,Northeast,US,OT,male,0,1
152,0,otheredprof,2,11 to 20,generalist, VT,Northeast,US,UZ,male,0,0
153,0,schooladmin,1,6 to 10,secondary, WY,West,US,UZ,male,0,0
154,0,instructionaltech,3,20+,secondary, MN,Midwest,US,M,female,0,0
155,0,instructionaltech,3,20+,generalist, VA,South,US,UZ,female,0,0
156,0,otheredprof,3,20+,primary, ME,Northeast,US,M,female,0,0
157,0,classteaching,1,4 to 5,middle, AL,South,US,AC,male,0,0
158,0,libmedia,3,20+,middle, WI,Midwest,US,UZ,female,0,0
159,0,instructionaltech,2,11 to 20,secondary, VT,Northeast,US,UZ,male,0,0
160,0,curriculum,3,20+,generalist, WI,Midwest,US,UZ,female,0,0
161,0,instructionaltech,3,20+,primary, NC,South,US,N,female,0,0
162,0,schooladmin,3,20+,generalist, NC,South,US,N,female,0,0
163,0,other,1,0 to 3,generalist, NH,Northeast,US,N,male,0,0
164,0,schooladmin,2,11 to 20,secondary, TX,South,US,OT,male,0,0
165,0,profdev,3,20+,generalist, RI,Northeast,US,OT,female,0,0
166,0,techinfrastructure,1,0 to 3,generalist, RI,Northeast,US,OT,female,0,0
167,0,instructionaltech,3,20+,generalist, DC,South,US,DL,male,0,1
168,0,instructionaltech,3,20+,generalist, IA,Midwest,US,DL,female,0,0
169,0,instructionaltech,3,20+,generalist, LA,Northeast,US,DL,female,0,0
170,0,techinfrastructure,1,6 to 10,generalist, IL,Midwest,US,DL,male,0,0
171,0,classteaching,2,11 to 20,generalist, IN,Midwest,US,DL,male,0,0
172,0,otheredprof,2,11 to 20,college,JM,International,JM,DL,female,0,0
173,0,schooladmin,2,11 to 20,secondary, AK,West,US,AC,male,0,0
174,0,schooladmin,2,11 to 20,secondary,CAN,International,CA,AC,male,0,0
175,0,curriculum,3,20+,generalist, VT,Northeast,US,UZ,female,0,1
176,0,techinfrastructure,2,11 to 20,generalist, VT,Northeast,US,UZ,male,0,0
177,0,districtadmin,2,11 to 20,generalist, NJ,Northeast,US,N,female,1,1
178,0,districtadmin,2,11 to 20,secondary, MN,Midwest,US,M,male,0,0
179,0,instructionaltech,2,11 to 20,generalist, AL,South,US,AC,male,0,0
180,0,otheredprof,3,20+,college,AU,International,AU,AC,male,0,0
181,0,techinfrastructure,1,6 to 10,generalist, OR,West,US,OT,female,0,0
182,0,otheredprof,1,6 to 10,generalist, VA,South,US,UZ,female,0,0
183,0,districtadmin,2,11 to 20,generalist, AL,South,US,AC,male,0,0
184,0,classteaching,1,6 to 10,secondary, NH,Northeast,US,N,male,0,0
185,0,classteaching,2,11 to 20,secondary, VA,South,US,UZ,female,0,0
186,0,techinfrastructure,1,4 to 5,secondary, IL,Midwest,US,DL,female,0,0
187,0,techinfrastructure,2,11 to 20,generalist, CA,West,US,AC,male,0,0
188,0,classteaching,3,20+,secondary, PA,Northeast,US,OT,male,0,0
189,0,schooladmin,3,20+,middle,CAN,International,CA,AC,female,0,0
190,0,libmedia,1,4 to 5,middle,CAN,International,CA,AC,female,0,0
191,0,classteaching,3,20+,middle,BR,International,BR,AC,female,0,0
192,0,classteaching,3,20+,middle, ME,Northeast,US,M,female,0,0
193,0,instructionaltech,2,11 to 20,generalist, NY,Northeast,US,N,female,0,0
194,0,instructionaltech,3,20+,generalist, NC,South,US,N,female,0,1
195,0,districtadmin,3,20+,generalist, NC,South,US,N,female,0,1
196,0,otheredprof,1,0 to 3,secondary, DC,South,US,DL,female,0,0
197,0,districtadmin,3,20+,generalist, AZ,West,US,AC,female,1,1
198,0,libmedia,2,11 to 20,primary, VA,South,US,UZ,female,0,0
