sender,receiver,created_at,text
AlexiosAsText,MaggieEThornton,2021-11-07T15:22:14Z,"@MaggieEThornton If enough were gathered could run a discourse analysis, but the gold standard would be to do something like Supovitz's #CommonCore project https://t.co/qROBwDpJCZ"
tx_granny,BanjoTanJoe,2021-11-06T19:29:41Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
tx_granny,MillennialOther,2021-11-06T19:29:41Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
tx_granny,Richard_Harambe,2021-11-06T19:29:41Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
tx_granny,RepMikeJohnson,2021-11-06T19:29:41Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
CapitolAdvocate,MichaelPetrilli,2021-10-31T11:56:22Z,"""Again, I can’t be sure that I’m right. Maybe it was #CommonCore"" @MichaelPetrilli 
""It was #commoncore."" @CapitolAdvocate https://t.co/bKFbvxElDX"
CapitolAdvocate,CapitolAdvocate,2021-10-31T11:56:22Z,"""Again, I can’t be sure that I’m right. Maybe it was #CommonCore"" @MichaelPetrilli 
""It was #commoncore."" @CapitolAdvocate https://t.co/bKFbvxElDX"
BanjoTanJoe,MillennialOther,2021-11-05T00:26:23Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
BanjoTanJoe,Richard_Harambe,2021-11-05T00:26:23Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
BanjoTanJoe,RepMikeJohnson,2021-11-05T00:26:23Z,@MillennialOther @Richard_Harambe @RepMikeJohnson This is the result of a #commoncore education
MaendelWealth,4Patrick7,2021-11-04T13:16:29Z,"@4Patrick7 @BookerSparticus What an ignoramus. What possible excuse is there for someone too old to blame #commoncore? Willful blindness, partisanship and tearing the social fabric of America."
MaendelWealth,BookerSparticus,2021-11-04T13:16:29Z,"@4Patrick7 @BookerSparticus What an ignoramus. What possible excuse is there for someone too old to blame #commoncore? Willful blindness, partisanship and tearing the social fabric of America."
waltduro,Tori_Sachs,2021-11-04T01:05:18Z,"@Tori_Sachs @GovWhitmer Charter backers hold no moral high ground 

@MiGOP's (@onetoughnerd @MISenate @MI_Republicans @pjcolbeck ) had an opportunity to give parents a voice - primarily by removing DC's &amp; Lansing's stranglehold over local curriculum

But they threw #StopCommonCore advocates #UnderTheBus"
waltduro,GovWhitmer,2021-11-04T01:05:18Z,"@Tori_Sachs @GovWhitmer Charter backers hold no moral high ground 

@MiGOP's (@onetoughnerd @MISenate @MI_Republicans @pjcolbeck ) had an opportunity to give parents a voice - primarily by removing DC's &amp; Lansing's stranglehold over local curriculum

But they threw #StopCommonCore advocates #UnderTheBus"
waltduro,MIGOP,2021-11-04T01:05:18Z,"@Tori_Sachs @GovWhitmer Charter backers hold no moral high ground 

@MiGOP's (@onetoughnerd @MISenate @MI_Republicans @pjcolbeck ) had an opportunity to give parents a voice - primarily by removing DC's &amp; Lansing's stranglehold over local curriculum

But they threw #StopCommonCore advocates #UnderTheBus"
