uid,facilitator,role,experience2,experience,grades,location,region,country,group,gender,expert,connect
1,0,curriculum,2,17,generalist,IN,Midwest,US,AL,male,0,0
2,0,other,1,3,primary,NC,South,US,MN,female,0,0
3,0,instructionaltech,2,20,generalist,US,South,US,OZ,female,0,0
4,0,instructionaltech,2,12,middle,TX,South,US,OZ,female,0,0
5,0,other,1,0,generalist,CAN,International,CA,AL,female,0,0
6,0,instructionaltech,1,7,generalist,CAN,International,CA,AL,female,0,0
7,0,operations,1,6,generalist,RI,Northeast,US,OZ,male,1,0
8,0,curriculum,2,12,middle,ME,Northeast,US,MN,female,0,0
9,0,other,2,11,generalist,VA,South,US,OZ,female,0,0
10,0,instructionaltech,3,21,generalist,WV,South,US,OZ,female,0,1
11,0,profdev,1,10,middle,CAN,International,CA,AL,female,0,0
12,0,classteaching,1,7,generalist,CAN,International,CA,AL,female,0,0
13,0,curriculum,3,34,generalist,OH,Midwest,US,OZ,female,0,0
14,0,classteaching,3,31,primary,BR,International,BR,AL,female,0,0
15,0,curriculum,2,16,primary,HI,West,US,AL,female,0,0
16,0,instructionaltech,2,17,generalist,TX,South,US,OZ,female,0,0
17,0,instructionaltech,1,5,generalist,UT,West,US,OZ,male,0,0
18,0,classteaching,1,8,secondary,VT,Northeast,US,OZ,male,0,0
19,0,profdev,1,9,middle,CAN,International,CA,AL,male,0,0
20,0,instructionaltech,3,25,generalist,NC,South,US,MN,male,0,0
21,0,instructionaltech,1,8,primary,FL,South,US,AL,female,0,0
22,0,classteaching,1,2,generalist,AZ,West,US,AL,male,0,0
23,0,libmedia,3,39,generalist,NH,Northeast,US,MN,female,0,0
24,0,consultant,3,34,generalist,TX,South,US,OZ,female,1,1
25,0,libmedia,1,4,middle,WA,West,US,OZ,female,0,0
26,0,instructionaltech,3,21,generalist,PA,Northeast,US,OZ,female,0,0
27,0,admin,2,11,secondary,OR,West,US,OZ,female,0,0
28,0,other,2,15,primary,NC,South,US,MN,female,0,0
29,0,instructionaltech,3,25,generalist,VA,South,US,OZ,male,0,0
30,0,curriculum,3,28,primary,VA,South,US,OZ,male,0,0
31,0,libmedia,1,10,primary,NC,South,US,MN,female,0,1
32,0,instructionaltech,1,6,generalist,PK,International,PK,OZ,male,0,0
33,0,classteaching,1,1,generalist,NC,South,US,MN,female,0,1
34,0,curriculum,2,17,primary,PK,International,PK,OZ,female,0,0
35,0,curriculum,1,4,generalist,PK,International,PK,OZ,male,0,0
36,0,libmedia,3,28,middle,RI,Northeast,US,OZ,female,0,0
37,0,classteaching,3,35,primary,NC,South,US,MN,male,0,1
38,0,classteaching,2,20,middle,NY,Northeast,US,MN,female,0,0
39,0,profdev,3,42,generalist,OH,Midwest,US,OZ,female,0,0
40,0,profdev,2,15,generalist,MA,Northeast,US,MN,female,1,1
41,0,instructionaltech,2,12,generalist,AZ,West,US,AL,male,0,0
42,0,instructionaltech,1,8,NULL,NULL,NULL,US,NULL,male,0,0
43,0,instructionaltech,1,2,primary,CO,West,US,AL,female,0,1
