id,efficacy,trust,district_site,male
1,6.06,4,1,0
2,6.56,5.63,1,0
3,7.39,4.63,1,0
4,4.89,4,1,0
5,6.06,5.75,0,1
6,7.39,4.38,0,0
7,5.56,3.63,0,1
8,7.5,5.63,1,1
9,7.67,5.25,0,0
10,6.64,4.78,0,0
11,5.06,5.88,0,1
12,7.44,3.75,0,1
13,8.280000000000001,5.13,0,0
14,5.67,5.5,0,0
15,6.72,5.63,0,1
16,4.61,3.75,1,0
17,7.17,5.13,0,0
18,5,4.13,1,1
19,7.89,3.88,0,1
20,7.17,5.75,0,1
21,7.44,5.38,0,1
22,4.94,3.75,1,0
23,8.5,5.5,0,0
24,5.22,5.13,1,0
25,6.94,4.63,1,0
26,7,4.88,0,0
27,5.06,4.5,1,0
28,7.61,4.5,1,1
29,5.67,4.13,1,1
30,5.5,4.88,0,1
31,6.78,4.25,0,1
32,5.88,4.13,1,0
33,5.89,5.13,0,0
34,5.12,4.25,1,1
35,7.44,3.88,0,1
36,7.72,5.75,1,0
37,6.64,4.78,1,1
38,7.56,5.75,1,1
39,8,5.63,0,0
40,7.33,5.38,0,0
41,8.170000000000002,4.13,0,0
42,8.06,5.25,0,1
43,6.72,3.88,0,0
